R1_PINH1	89.69	47.56	0.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB	63.62	23.57	90.00	100K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2	68.24	6.05	90.00	2.2	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH	152.44	5.94	90.00	10k	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1	86.74	62.35	0.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB	144.15	50.49	90.00	5k1	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1	155.57	52.01	90.00	5k1	ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT	125.25	30.62	90.00	2K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R3	114.60	53.37	0.00	0.47	ESP32_WROVER_EAGLE-LTSPICE_R0402
R4	64.60	8.40	0.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R5	67.88	11.09	0.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R6	8.65	99.08	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R7	95.20	56.97	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R8	67.86	23.64	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R9	133.07	58.47	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON	24.00	108.57	180.00	BUTTON_CUSYOMV1	MYBUTTON
R_BOOT	63.35	104.78	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR	94.88	51.18	90.00	15	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE	43.80	107.50	270.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1	75.26	19.71	90.00	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET	19.16	107.90	90.40	10K	ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2	156.20	11.93	90.00	ESP32_WROVER_BME680_BME680	ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1	64.66	5.83	0.00		SJ
TP1	85.39	95.94	0.00	TPTP20R	TP20R
TP10	5.44	34.81	0.00	TPTP20R	TP20R
TP11	5.50	43.08	0.00	TPTP20R	TP20R
TP12	71.00	76.11	0.00	TPTP20R	TP20R
TP13	59.49	79.80	0.00	TPTP20R	TP20R
TP14	44.84	73.89	0.00	TPTP20R	TP20R
TP15	5.45	38.85	0.00	TPTP20R	TP20R
TP16	56.66	71.31	0.00	TPTP20R	TP20R
TP17	5.49	27.41	0.00	TPTP20R	TP20R
TP2	78.47	95.94	0.00	TPTP20R	TP20R
TP3	68.28	88.54	0.00	TPTP20R	TP20R
TP4	37.20	78.38	0.00	TPTP20R	TP20R
TP5	148.97	59.49	0.00	TPTP20R	TP20R
TP6	148.97	63.70	0.00	TPTP20R	TP20R
TP7	54.27	61.68	0.00	TPTP20R	TP20R
TP8	5.44	31.08	0.00	TPTP20R	TP20R
TP9	47.01	85.91	0.00	TPTP20R	TP20R
U1	41.23	58.09	0.00	W25Q512JVEIQ	SON127P600X800X80-9N
U2	15.98	56.93	90.00	ESP32-C6-WROOM-1-N8	XCVR_ESP32-C6-WROOM-1-N8
U3	85.95	55.73	90.00	DS3231SN#	SOIC127P1032X265-16N
U4	138.94	55.20	0.00	MAX17048G+T10	SON50P200X200X80-9N
